,0
year,country_name
0,Albania
1,Algeria
2,American Samoa
3,Andorra
4,Angola
5,Argentina
6,Armenia
7,Aruba
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Benin
18,Bermuda
19,Bosnia and Herzegovina
20,Botswana
21,Brazil
22,Bulgaria
23,Burkina Faso
24,Burundi
25,Cameroon
26,Canada
27,Cape Verde
28,Cayman Islands
29,Central African Republic
30,Chile
31,Chinese Taipei
32,Colombia
33,Congo
34,Costa Rica
35,Croatia
36,Cuba
37,Cyprus
38,Czech Republic
39,Czechoslovakia
40,Côte d'Ivoire
41,Democratic People's Republic of Korea
42,Democratic Republic of the Congo
43,Denmark
44,Djibouti
45,Dominican Republic
46,Ecuador
47,Egypt
48,El Salvador
49,Eritrea
50,Estonia
51,Ethiopia
52,Federated States of Micronesia
53,Fiji
54,Finland
55,France
56,Gabon
57,Georgia
58,Germany
59,Ghana
60,Great Britain
61,Greece
62,Grenada
63,Guam
64,Guatemala
65,Guinea-Bissau
66,Guyana
67,Haiti
68,Honduras
69,"Hong Kong, China"
70,Hungary
71,Iceland
72,Independent Olympic Athletes
73,India
74,Indonesia
75,Iraq
76,Ireland
77,Islamic Republic of Iran
78,Israel
79,Italy
80,Ivory Coast
81,Jamaica
82,Japan
83,Jordan
84,Kazakhstan
85,Kenya
86,Kiribati
87,Kosovo
88,Kuwait
89,Kyrgyzstan
90,Latvia
91,Lebanon
92,Liberia
93,Lithuania
94,Luxembourg
95,Madagascar
96,Malaysia
97,Mali
98,Malta
99,Mauritius
100,Mexico
101,Monaco
102,Mongolia
103,Montenegro
104,Morocco
105,Mozambique
106,Myanmar
107,Namibia
108,Nauru
109,Netherlands
110,Netherlands Antilles
111,New Zealand
112,Nicaragua
113,Nigeria
114,North Macedonia
115,Norway
116,Oman
117,Pakistan
118,Panama
119,Papua New Guinea
120,Paraguay
121,People's Republic of China
122,Peru
123,Philippines
124,Poland
125,Portugal
126,Puerto Rico
127,Qatar
128,ROC
129,Refugee Olympic Athletes
130,Refugee Olympic Team
131,Republic of Korea
132,Republic of Moldova
133,Romania
134,Russian Federation
135,Rwanda
136,Saint Kitts and Nevis
137,Saint Lucia
138,Samoa
139,San Marino
140,Saudi Arabia
141,Senegal
142,Serbia
143,Serbia and Montenegro
144,Seychelles
145,Sierra Leone
146,Singapore
147,Slovakia
148,Slovenia
149,Solomon Islands
150,Somalia
151,South Africa
152,Spain
153,Sri Lanka
154,Sudan
155,Suriname
156,Swaziland
157,Sweden
158,Switzerland
159,Syrian Arab Republic
160,Tajikistan
161,Thailand
162,The Former Yugoslav Republic of Macedonia
163,Togo
164,Tonga
165,Trinidad and Tobago
166,Tunisia
167,Turkey
168,Turkmenistan
169,US Virgin Islands
170,Uganda
171,Ukraine
172,Unified Team
173,United Arab Emirates
174,United Republic of Tanzania
175,United States of America
176,Uruguay
177,Uzbekistan
178,Venezuela
179,Vietnam
180,"Virgin Islands, British"
181,Zambia
182,Zimbabwe
