,0
Afghanistan,[45 47 27 21 34 46 26 62 43 35 32 31 22]
Albania,[42 32 35 34]
Algeria,[27 34 21 26 22]
Angola,[22 27 14 37 38 21]
Antarctica,[61]
Argentina,[38 26 39 27 22 36 21 37 62 35 32 31 33]
Armenia,[41 31 42 26 45]
Australia,[12 14 31 11 37 27 21 32 22 34 35 26]
Austria,[43 42 62 32]
Azerbaijan,[32 42 43 31 26 41 34 45]
Bahamas,[14]
Bangladesh,[12 14 37]
Belarus,[42 32]
Belgium,[32]
Belize,[14 12 11]
Benin,[27 14]
Bhutan,[62 51 38 37]
Bolivia,[12 14 32 11 38 39 62 26 31 21 27 37]
Bosnia and Herz.,[31 42 34 32]
Botswana,[22 27]
Brazil,[12 14 11 13 27 37 31 32 38]
Brunei,[11]
Bulgaria,[42 32 31 35 34]
Burkina Faso,[22 27 14]
Burundi,[38 14]
Cambodia,[12 14]
Cameroon,[22 11 27 12 14]
Canada,[61 62 47 43 51 42 33 32 46 41 35 26]
Central African Rep.,[27 12 14]
Chad,[22 27 14]
Chile,[22 21 26 62 35 36 33 32]
China,[62 42 43 26 51 41 49 50 21 37 38 39 32 31 12 14]
Colombia,[22 38 27 12 14 11 32 13 35]
Congo,[11 13 12 14]
Costa Rica,[14 12 32 11]
Croatia,[31 35 34 32]
Cuba,[12 14 13]
Cyprus,[34 27]
Czechia,[42 32]
Côte d'Ivoire,[12 14]
Dem. Rep. Congo,[32 12 14 38 11 37]
Denmark,[32]
Djibouti,[27 22]
Dominican Rep.,[32 11 12 14 13]
Ecuador,[13 14 12 11 35 27 38 32]
Egypt,[27 21 22]
El Salvador,[14]
Eq. Guinea,[11 12 14]
Eritrea,[22 27 14]
Estonia,[42]
Ethiopia,[37 38 14 27 32 12 35 22 13]
Falkland Is.,[62 33]
Fiji,[12 11]
Finland,[62 43 42]
France,[35 33 43 31 34 32 12 11]
Gabon,[11 13 12 14]
Gambia,[14 13 27]
Georgia,[42 31 32 43 62 41]
Germany,[43 62 32]
Ghana,[27 12 14]
Greece,[42 32 31 35 34]
Greenland,[62 61 26]
Guatemala,[14 11 38 12 32]
Guinea,[13 12 14]
Guinea-Bissau,[13 14]
Guyana,[12 14 11]
Haiti,[11 12 14]
Honduras,[11 13 12 31 14]
Hungary,[42 32]
Iceland,[33 62]
India,[42 43 47 31 32 38 26 21 62 51 50 39 27 34 37 14 13 12 22]
Indonesia,[13 12 11 32 14]
Iran,[31 26 45 46 34 27 21 22]
Iraq,[45 46 34 27 22]
Ireland,[32]
Israel,[27 34 22]
Italy,[42 43 62 33 32 35 31 34]
Jamaica,[12 14 11]
Japan,[43 41 42 32 31 37]
Jordan,[21 26 27 34 22]
Kazakhstan,[26 41 42 62 43 46 21 45 47 34]
Kenya,[14 27 22 12 13 35 11 32 38]
Kosovo,[42 32]
Kuwait,[22]
Kyrgyzstan,[26 45 46 42 43 62 47 21]
Laos,[14 12 37]
Latvia,[42 32]
Lebanon,[35 34]
Lesotho,[38 26 32]
Liberia,[12 14]
Libya,[27 34 22]
Lithuania,[42 32]
Luxembourg,[32]
Macedonia,[42 31 32 35]
Madagascar,[14 12 38 32 31 37 11 27]
Malawi,[38 37 14 27]
Malaysia,[12 11]
Mali,[22 27 14]
Mauritania,[22 27]
Mexico,[26 35 34 27 21 22 32 38 37 31 14 13 12 11]
Moldova,[42 32 31]
Mongolia,[62 51 26 50 43 21]
Montenegro,[42 31 32 34]
Morocco,[26 27 34 21 22]
Mozambique,[37 27 14 38]
Myanmar,[39 62 38 32 37 14 27 12]
N. Cyprus,[34 27]
Namibia,[22 26 21 27]
Nepal,[38 51 62 37]
Netherlands,[32]
New Caledonia,[13 12 11 14 31]
New Zealand,[33 32 62]
Nicaragua,[11 14 12]
Niger,[22 27 14]
