country,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity
Albania,0.55,0.6,0.475,0.45
Algeria,0.5,0.36,0.24,0.64
Angola,0.516666667,0.483333333,0.333333333,0.5
Argentina,0.423076923,0.469230769,0.338461538,0.453846154
Armenia,0.48,0.46,0.42,0.44
Australia,0.6,0.583333333,0.475,0.466666667
Austria,0.375,0.35,0.325,0.35
Azerbaijan,0.5,0.5,0.425,0.4375
Bahamas,0.7,0.7,0.6,0.3
Bangladesh,0.7,0.766666667,0.633333333,0.266666667
Belarus,0.5,0.5,0.45,0.45
Belgium,0.5,0.6,0.5,0.5
Benin,0.55,0.55,0.45,0.4
Bosnia and Herzegovina,0.575,0.625,0.5,0.45
Botswana,0.5,0.3,0.2,0.65
Brazil,0.644444444,0.744444444,0.6,0.311111111
Bulgaria,0.56,0.62,0.5,0.46
Burkina Faso,0.566666667,0.433333333,0.333333333,0.533333333
Burundi,0.55,0.75,0.5,0.25
Cameroon,0.72,0.64,0.56,0.38
Canada,0.358333333,0.358333333,0.325,0.35
Central African Republic,0.666666667,0.666666667,0.566666667,0.333333333
Chile,0.4125,0.3625,0.2875,0.525
China,0.43125,0.45625,0.36875,0.35
Colombia,0.644444444,0.677777778,0.544444444,0.366666667
Congo Dem. Rep.,0.85,0.875,0.775,0.2
Costa Rica,0.775,0.8,0.725,0.275
Croatia,0.575,0.675,0.525,0.475
Cuba,0.8,0.833333333,0.7,0.233333333
Cyprus,0.55,0.6,0.4,0.45
Czech Republic,0.5,0.5,0.45,0.45
Denmark,0.5,0.6,0.5,0.5
Djibouti,0.5,0.3,0.2,0.65
Dominican Republic,0.78,0.82,0.72,0.26
Ecuador,0.65,0.7375,0.6,0.3125
Egypt,0.5,0.233333333,0.166666667,0.733333333
El Salvador,0.7,0.7,0.6,0.3
Eritrea,0.566666667,0.433333333,0.333333333,0.533333333
Estonia,0.5,0.4,0.4,0.4
Eswatini,0.5,0.65,0.45,0.325
Ethiopia,0.588888889,0.644444444,0.488888889,0.388888889
Fiji,0.95,0.95,0.9,0.15
Finland,0.333333333,0.266666667,0.266666667,0.3
France,0.625,0.675,0.575,0.375
Gabon,0.85,0.875,0.775,0.2
Georgia,0.45,0.433333333,0.4,0.366666667
Germany,0.333333333,0.333333333,0.3,0.333333333
Ghana,0.666666667,0.666666667,0.566666667,0.333333333
Great Britain,0.45,0.55,0.45,0.45
Greece,0.56,0.62,0.5,0.46
Guatemala,0.7,0.8,0.66,0.26
Guinea-Bissau,0.75,0.8,0.65,0.25
Guyana,0.866666667,0.866666667,0.8,0.2
