country,1960
Afghanistan,1870
Angola,3100
Albania,2800
Andorra,19k
UAE,3100
Argentina,11k
Armenia,5680
Antigua and Barbuda,4690
Australia,16.1k
Austria,12.7k
Azerbaijan,4900
Burundi,809
Belgium,13k
Benin,1760
Burkina Faso,1010
Bangladesh,1170
Bulgaria,4630
Bahrain,8010
Bahamas,19.6k
Bosnia and Herzegovina,2350
Belarus,5320
Belize,2640
Bolivia,3370
Brazil,3890
Barbados,5920
Brunei,75.7k
Bhutan,1110
Botswana,726
Central African Republic,1670
Canada,16.2k
Switzerland,21.7k
Chile,7340
China,879
Cote d'Ivoire,2620
Cameroon,1700
"Congo, Dem. Rep.",1710
"Congo, Rep.",2150
Colombia,4480
Comoros,944
Cape Verde,1210
Costa Rica,5200
Cuba,3430
Cyprus,4200
Czech Republic,9470
Germany,14.5k
Djibouti,5690
Dominica,1710
Denmark,16.5k
Dominican Republic,2580
Algeria,4460
Ecuador,4260
Egypt,1910
Eritrea,943
Spain,6470
Estonia,9230
Ethiopia,788
Finland,11.5k
Fiji,3710
France,13.4k
"Micronesia, Fed. Sts.",1570
Gabon,4740
UK,15.6k
Georgia,5560
Ghana,2560
Guinea,944
Gambia,1600
Guinea-Bissau,1090
Equatorial Guinea,1050
Greece,6290
Grenada,2280
Guatemala,3910
Guyana,3950
"Hong Kong, China",5640
Honduras,2620
Croatia,6320
Haiti,2470
Hungary,6930
Indonesia,1780
India,1250
Ireland,8420
Iran,5530
Iraq,4740
Iceland,12.7k
Israel,8760
Italy,11.2k
Jamaica,5340
Jordan,4950
Japan,7140
Kazakhstan,8750
Kenya,1640
Kyrgyz Republic,4750
Cambodia,1550
Kiribati,2930
St. Kitts and Nevis,4140
South Korea,1740
Kuwait,33.8k
Lao,947
Lebanon,8150
Liberia,3180
Libya,3580
St. Lucia,2230
Sri Lanka,2110
Lesotho,792
Lithuania,9480
Luxembourg,20.5k
Latvia,7850
Morocco,2160
Monaco,26.6k
Moldova,6040
Madagascar,2140
Maldives,2620
Mexico,6110
Marshall Islands,1970
North Macedonia,4030
Mali,1040
Malta,2800
Myanmar,822
Montenegro,3610
Mongolia,1290
Mozambique,502
Mauritania,1350
Mauritius,4370
Malawi,630
Malaysia,2810
Namibia,5280
Niger,1460
Nigeria,1900
Nicaragua,3830
Netherlands,15.4k
Norway,14k
Nepal,1130
Nauru,14.7k
New Zealand,17.9k
Oman,1920
Pakistan,1190
Panama,4040
Peru,5360
Philippines,2730
Palau,17.7k
Papua New Guinea,1330
Poland,5940
North Korea,1320
Portugal,5660
Paraguay,3060
Palestine,2130
Qatar,26.9k
Romania,3180
Russia,7180
Rwanda,1230
Saudi Arabia,9720
Sudan,2160
Senegal,2790
Singapore,4440
Solomon Islands,1470
Sierra Leone,1260
El Salvador,3480
San Marino,15.3k
Somalia,1290
Serbia,5080
South Sudan,1910
Sao Tome and Principe,1620
Suriname,7350
Slovak Republic,8610
Slovenia,8340
Sweden,15.8k
Eswatini,911
Seychelles,4000
Syria,4480
Chad,1170
Togo,1230
Thailand,1750
Tajikistan,4540
Turkmenistan,5930
Timor-Leste,684
Tonga,1530
Trinidad and Tobago,9840
Tunisia,2330
Turkey,4000
Tuvalu,1790
Taiwan,2300
Tanzania,862
Uganda,1240
Ukraine,6140
Uruguay,8800
USA,20.1k
Uzbekistan,4540
St. Vincent and the Grenadines,3480
Venezuela,13.7k
Vietnam,1440
Vanuatu,1790
Samoa,3680
Yemen,1530
South Africa,6130
Zambia,1990
Zimbabwe,1810
