country,1996
Afghanistan,1220
Angola,3770
Albania,4830
Andorra,39.7k
UAE,84.6k
Argentina,17.5k
Armenia,3480
Antigua and Barbuda,18.2k
Australia,34.4k
Austria,40.1k
Azerbaijan,3090
Burundi,893
Belgium,37.1k
Benin,2210
Burkina Faso,1190
Bangladesh,1880
Bulgaria,11.4k
Bahrain,34.5k
Bahamas,32.8k
Bosnia and Herzegovina,4260
Belarus,6370
Belize,7310
Bolivia,4920
Brazil,11.1k
Barbados,13.6k
Brunei,77k
Bhutan,3700
Botswana,9680
Central African Republic,1010
Canada,35.8k
Switzerland,50.8k
Chile,14.4k
China,2940
Cote d'Ivoire,3700
Cameroon,2580
"Congo, Dem. Rep.",881
"Congo, Rep.",4120
Colombia,9650
Comoros,2270
Cape Verde,2980
Costa Rica,10.8k
Cuba,3720
Cyprus,26.1k
Czech Republic,22.4k
Germany,38.2k
Djibouti,2820
Dominica,8080
Denmark,42.5k
Dominican Republic,7280
Algeria,7710
Ecuador,7640
Egypt,6660
Eritrea,2030
Spain,28.5k
Estonia,14k
Ethiopia,762
Finland,32.2k
Fiji,8810
France,35.3k
"Micronesia, Fed. Sts.",3120
Gabon,16.6k
UK,33k
Georgia,3740
Ghana,2490
Guinea,1460
Gambia,1820
Guinea-Bissau,1590
Equatorial Guinea,2880
Greece,24.3k
Grenada,8610
Guatemala,6110
Guyana,6720
"Hong Kong, China",34.9k
Honduras,3870
Croatia,15.3k
Haiti,2630
Hungary,15.6k
Indonesia,6310
India,2320
Ireland,33.3k
Iran,10.2k
Iraq,4020
Iceland,34.2k
Israel,27.7k
Italy,37.8k
Jamaica,9430
Jordan,8210
Japan,36k
Kazakhstan,8840
Kenya,3130
Kyrgyz Republic,2790
Cambodia,1270
Kiribati,1720
St. Kitts and Nevis,18.1k
South Korea,20k
Kuwait,51.3k
Lao,2350
Lebanon,11.6k
Liberia,519
Libya,18.6k
St. Lucia,11k
Sri Lanka,5250
Lesotho,1730
Lithuania,11k
Luxembourg,70.7k
Latvia,10.1k
Morocco,4710
Monaco,121k
Moldova,4920
Madagascar,1460
Maldives,10.9k
Mexico,15.4k
Marshall Islands,3600
North Macedonia,8050
Mali,1440
Malta,19.8k
Myanmar,918
Montenegro,10.1k
Mongolia,3750
Mozambique,500
Mauritania,4130
Mauritius,11.1k
Malawi,1080
Malaysia,15.3k
Namibia,6440
Niger,919
Nigeria,2780
Nicaragua,3320
Netherlands,39.4k
Norway,51.2k
Nepal,1800
Nauru,9200
New Zealand,30k
Oman,30.3k
Pakistan,3360
Panama,12.7k
Peru,6260
Philippines,4340
Palau,15.3k
Papua New Guinea,3800
Poland,12.8k
North Korea,1980
Portugal,25.6k
Paraguay,8770
Palestine,4280
Qatar,50.3k
Romania,11.4k
Russia,12.2k
Rwanda,797
Saudi Arabia,36.9k
Sudan,2920
Senegal,2330
Singapore,47.1k
Solomon Islands,2690
Sierra Leone,1120
El Salvador,5920
San Marino,66.8k
Somalia,668
Serbia,7860
South Sudan,1090
Sao Tome and Principe,2690
Suriname,12.3k
Slovak Republic,14.2k
Slovenia,21.9k
Sweden,34.2k
Eswatini,5090
Seychelles,15.5k
Syria,6800
Chad,906
Togo,1650
Thailand,10.7k
Tajikistan,1240
Turkmenistan,3640
Timor-Leste,2700
Tonga,4600
Trinidad and Tobago,13.2k
Tunisia,6680
Turkey,13.7k
Tuvalu,2830
Taiwan,23.5k
Tanzania,1250
Uganda,1160
Ukraine,6760
Uruguay,14k
USA,44k
Uzbekistan,3020
St. Vincent and the Grenadines,7710
Venezuela,16.8k
Vietnam,2960
Vanuatu,2950
Samoa,4040
Yemen,3600
South Africa,9550
Zambia,1900
Zimbabwe,2820
