country,2021(JO-2020)
Albania,0.001985888290951446
Algeria,0.03132176187550429
Andorra,4.7692647877628225e-05
Angola,0.024118913295745188
Argentina,0.03167141471918192
Armenia,0.001999874404698551
Australia,0.01817481495322554
Austria,0.006265639097565591
Azerbaijan,0.007125785093012552
Bahamas,0.00026979213418165644
Bahrain,0.0010418256130218552
Bangladesh,0.1174762225576714
Barbados,0.0001900712858231576
Belarus,0.006461444690025062
Belgium,0.008104813055309907
Benin,0.00936356329254936
Bosnia and Herzegovina,0.0022586175090199946
Botswana,0.0016712007316415825
Brazil,0.146847061426592
Bulgaria,0.004804090210993113
Burkina Faso,0.015377592203804531
Burundi,0.00908384101760726
Cameroon,0.018804190071845268
Canada,0.026916136045166197
Cape Verde,0.00035440812235164196
Central African Republic,0.003566319144374317
Chile,0.013629327985416401
China,1.0
Colombia,0.035797318274577904
Congo Dem. Rep.,0.0692940606988945
Congo Rep.,0.004111777580511413
Costa Rica,0.0035313538600065543
Croatia,0.002734145376421566
Cuba,0.007755160211632279
Cyprus,0.0009159505892979096
Czech Republic,0.007335576799219127
Denmark,0.0040907984098907555
Djibouti,0.0007760894518268592
Dominican Republic,0.007755160211632279
Ecuador,0.012370577748176946
Egypt,0.077615798378422
El Salvador,0.004370520684832856
Eritrea,0.0023355411346290722
Estonia,0.0009229436461714622
Eswatini,0.000839026963688832
Ethiopia,0.08530816093932979
Federated States of Micronesia,7.11893189727647e-05
Fiji,0.0006341303972937429
Finland,0.0038670205899370754
France,0.04621697301617116
Gabon,0.0016572146178944775
Georgia,0.0026432356370653834
Germany,0.058524753113623616
Ghana,0.02272030192103468
Great Britain,0.04733586211593957
Greece,0.007405507367954652
Grenada,7.468584740954097e-05
Guatemala,0.012300647179441421
Guinea-Bissau,0.0014334367979407967
Guyana,0.0005628012171835072
Haiti,0.007964951917838855
Honduras,0.007195715661748077
Hong Kong China,0.005223673623406265
Hungary,0.006783125306208478
Iceland,0.0002537081033724856
India,0.986013886252895
Indonesia,0.19370054247939392
Iran,0.06188142041292882
Iraq,0.030132942207000357
Ireland,0.0035103746893858966
Israel,0.006244659926944934
Italy,0.04174141661709755
Ivory Coast,0.020692315427704448
Jamaica,0.0019788952340778934
Japan,0.08810538368875079
Jordan,0.007755160211632279
Kazakhstan,0.013769189122887451
Kenya,0.03719592964928841
Kiribati,8.237820997044875e-05
Kuwait,0.0030418398788578773
Kyrgyzstan,0.0047621318697517985
Latvia,0.0013145548310904036
Lebanon,0.00399289561366102
Liberia,0.0036712149974776048
Lithuania,0.001943929949710131
Luxembourg,0.00044042272189633806
Madagascar,0.020762245996439974
Malaysia,0.023979052158274138
Mali,0.01565731447874663
Malta,0.00035930326216312877
Mauritius,0.0008879783618036996
Mexico,0.0895039950634613
Moldova,0.002104770257801839
Monaco,1.9790350952153645e-05
Mongolia,0.0023285480777555196
Montenegro,0.00041524771715154896
Morocco,0.025867177514133317
Mozambique,0.02216085737115048
Myanmar,0.037335790786759464
Namibia,0.001957916063457236
Nauru,1.0489585310328785e-06
Netherlands,0.012370577748176946
New Zealand,0.003566319144374317
Nicaragua,0.004636256846027853
Nigeria,0.15314081261278928
North Korea,0.01831467609069659
North Macedonia,0.0012865826035961935
Norway,0.0037761108505808927
Oman,0.0031397426750876126
Pakistan,0.16712692635989432
Panama,0.0030348468219843247
Papua New Guinea,0.006985923955541501
Paraguay,0.004664229073522062
Peru,0.02320981590218336
Philippines,0.07901440975313251
Poland,0.02656648320148857
Portugal,0.007265646230483602
Qatar,0.001957916063457236
Romania,0.013419536279209825
Russia,0.10209149743585584
Rwanda,0.00936356329254936
Samoa,0.00014251849908300044
San Marino,1.7063058771468163e-05
Saudi Arabia,0.021881135096208378
Senegal,0.01202092490449932
Serbia,0.004776117983498903
Seychelles,7.888168153367248e-05
Sierra Leone,0.005650250092692969
Singapore,0.003874013646810628
Slovakia,0.00379709002120155
Slovenia,0.0014684020823085592
Solomon Islands,0.000526437321441034
Somalia,0.012090855473234845
South Africa,0.04300016685433701
South Korea,0.03621690168699106
Spain,0.033349748368834524
Sri Lanka,0.015867106184953208
St. Kitts and Nevis,2.559458815720224e-05
St. Lucia,0.00011804280002556662
Sudan,0.033629470643776624
Suriname,0.0004250379967745225
Sweden,0.007265646230483602
Switzerland,0.0060838196188532255
Syria,0.015097869928862431
Tajikistan,0.006964944784920843
Tanzania,0.04390926424789884
Thailand,0.05013308486536058
Togo,0.006202701585703618
Tonga,6.629417916127793e-05
Trinidad and Tobago,0.0010348325561483026
Tunisia,0.008384535330252007
Turkey,0.06062267017568937
Turkmenistan,0.004950944405337716
UAE,0.006839069761196898
USA,0.23775680078277484
Uganda,0.03209099813159507
Ukraine,0.03097210903182666
Uruguay,0.002370506418996835
Uzbekistan,0.02390912158953861
Venezuela,0.019713287465407094
Vietnam,0.06915419956142345
Zambia,0.013699258554151926
Zimbabwe,0.011041896942201966
