country,1952
Afghanistan,7.99M
Angola,4.65M
Albania,1.31M
Andorra,5460
UAE,84.8k
Argentina,17.7M
Armenia,1.45M
Antigua and Barbuda,47.4k
Australia,8.63M
Austria,6.93M
Azerbaijan,3.25M
Burundi,2.36M
Belgium,8.7M
Benin,2.29M
Burkina Faso,4.31M
Bangladesh,42.9M
Bulgaria,7.36M
Bahrain,124k
Bahamas,86.2k
Bosnia and Herzegovina,2.77M
Belarus,7.26M
Belize,73.3k
Bolivia,3.19M
Brazil,56.7M
Barbados,217k
Brunei,54.2k
Bhutan,179k
Botswana,434k
Central African Republic,1.48M
Canada,14.5M
Switzerland,4.81M
Chile,6.89M
China,565M
Cote d'Ivoire,2.89M
Cameroon,4.46M
"Congo, Dem. Rep.",12.8M
"Congo, Rep.",873k
Colombia,12.4M
Comoros,169k
Cape Verde,189k
Costa Rica,992k
Cuba,6.16M
Cyprus,509k
Czech Republic,9.08M
Germany,69.8M
Djibouti,66.4k
Dominica,50.8k
Denmark,4.33M
Dominican Republic,2.53M
Algeria,9.52M
Ecuador,3.7M
Egypt,22.1M
Eritrea,840k
Spain,28.4M
Estonia,1.13M
Ethiopia,18.3M
Finland,4.09M
Fiji,323k
France,42.8M
"Micronesia, Fed. Sts.",33.9k
Gabon,479k
UK,50.5M
Georgia,3.59M
Ghana,5.39M
Guinea,3.11M
Gambia,323k
Guinea-Bissau,554k
Equatorial Guinea,235k
Greece,7.78M
Grenada,78.9k
Guatemala,3.26M
Guyana,441k
"Hong Kong, China",2.16M
Honduras,1.65M
Holy See,887
Croatia,3.96M
Haiti,3.37M
Hungary,9.5M
Indonesia,71.9M
India,362M
Ireland,2.94M
Iran,17.3M
Iraq,5.91M
Iceland,148k
Israel,1.41M
Italy,47M
Jamaica,1.48M
Jordan,506k
Japan,89.1M
Kazakhstan,7.26M
Kenya,6.03M
Kyrgyz Republic,1.82M
Cambodia,4.58M
Kiribati,39.4k
St. Kitts and Nevis,49.4k
South Korea,20.2M
Kuwait,163k
Lao,1.77M
Lebanon,1.43M
Liberia,955k
Libya,1.16M
St. Lucia,94.4k
Liechtenstein,14.2k
Sri Lanka,8.11M
Lesotho,602k
Lithuania,2.49M
Luxembourg,300k
Latvia,1.95M
Morocco,9.39M
Monaco,20.6k
Moldova,2.62M
Madagascar,4.16M
Maldives,77.1k
Mexico,29.1M
Marshall Islands,13.2k
North Macedonia,1.29M
Mali,4.84M
Malta,305k
Myanmar,18.4M
Montenegro,419k
Mongolia,807k
Mozambique,6.05M
Mauritania,685k
Mauritius,557k
Malawi,3.06M
Malaysia,6.42M
Namibia,527k
Niger,2.77M
Nigeria,38.7M
Nicaragua,1.41M
Netherlands,10.4M
Norway,3.33M
Nepal,8.75M
Nauru,3610
New Zealand,2M
Oman,469k
Pakistan,37.4M
Panama,904k
Peru,8.12M
Philippines,20.3M
Palau,7820
Papua New Guinea,1.61M
Poland,25.7M
North Korea,10.3M
Portugal,8.52M
Paraguay,1.57M
Palestine,962k
Qatar,25.9k
Romania,16.8M
Russia,106M
Rwanda,2.32M
Saudi Arabia,1.83M
Sudan,6.57M
Senegal,2.69M
Singapore,1.13M
Solomon Islands,113k
Sierra Leone,2.05M
El Salvador,2.29M
San Marino,13.3k
Somalia,2.34M
Serbia,6.13M
South Sudan,2.57M
Sao Tome and Principe,62.6k
Suriname,206k
Slovak Republic,3.59M
Slovenia,1.48M
Sweden,7.12M
Eswatini,286k
Seychelles,39k
Syria,3.77M
Chad,2.62M
Togo,1.45M
Thailand,21.5M
Tajikistan,1.65M
Turkmenistan,1.32M
Timor-Leste,422k
Tonga,52.4k
Trinidad and Tobago,683k
Tunisia,3.76M
Turkey,22.3M
Tuvalu,5050
Taiwan,8.15M
Tanzania,8.01M
Uganda,6.08M
Ukraine,38.3M
Uruguay,2.28M
USA,159M
Uzbekistan,6.54M
St. Vincent and the Grenadines,65.2k
Venezuela,5.98M
Vietnam,26.1M
Vanuatu,53.3k
Samoa,92.7k
Yemen,4.76M
South Africa,13.6M
Zambia,2.47M
Zimbabwe,2.97M
