country_name,slug_game,rank_position
Albania,barcelona-1992,1
Albania,beijing-2008,2
Albania,london-2012,3
Albania,rio-2016,2
Albania,sydney-2000,1
Albania,tokyo-2020,2
Algeria,athens-2004,11
Algeria,atlanta-1996,11
Algeria,barcelona-1992,14
Algeria,beijing-2008,11
Algeria,london-2012,6
Algeria,rio-2016,13
Algeria,sydney-2000,11
Algeria,tokyo-2020,9
American Samoa,barcelona-1992,2
Andorra,london-2012,1
Angola,athens-2004,1
Angola,atlanta-1996,1
Angola,barcelona-1992,1
Angola,london-2012,2
Angola,rio-2016,2
Angola,sydney-2000,1
Angola,tokyo-2020,1
Argentina,athens-2004,17
Argentina,atlanta-1996,18
Argentina,barcelona-1992,12
Argentina,beijing-2008,12
Argentina,london-2012,16
Argentina,rio-2016,19
Argentina,sydney-2000,20
Argentina,tokyo-2020,17
Armenia,athens-2004,9
Armenia,atlanta-1996,17
Armenia,beijing-2008,11
Armenia,london-2012,7
Armenia,rio-2016,13
Armenia,sydney-2000,7
Armenia,tokyo-2020,9
Aruba,rio-2016,1
Australia,athens-2004,128
Australia,atlanta-1996,105
Australia,barcelona-1992,78
Australia,beijing-2008,123
Australia,london-2012,107
Australia,rio-2016,122
Australia,sydney-2000,144
Australia,tokyo-2020,115
Austria,athens-2004,18
Austria,atlanta-1996,17
Austria,barcelona-1992,22
Austria,beijing-2008,26
Austria,london-2012,16
Austria,rio-2016,15
Austria,sydney-2000,23
Austria,tokyo-2020,22
Azerbaijan,athens-2004,19
Azerbaijan,atlanta-1996,8
Azerbaijan,beijing-2008,15
Azerbaijan,london-2012,27
Azerbaijan,rio-2016,30
Azerbaijan,sydney-2000,18
Azerbaijan,tokyo-2020,16
Bahamas,athens-2004,7
Bahamas,atlanta-1996,6
Bahamas,barcelona-1992,2
Bahamas,beijing-2008,6
Bahamas,london-2012,6
Bahamas,rio-2016,5
Bahamas,sydney-2000,9
Bahamas,tokyo-2020,4
Bahrain,beijing-2008,3
Bahrain,london-2012,4
Bahrain,rio-2016,7
Bahrain,tokyo-2020,5
Bangladesh,tokyo-2020,1
Barbados,athens-2004,2
Barbados,atlanta-1996,2
Barbados,barcelona-1992,1
Barbados,beijing-2008,2
Barbados,london-2012,1
Barbados,sydney-2000,2
Belarus,athens-2004,54
Belarus,atlanta-1996,54
Belarus,beijing-2008,45
Belarus,london-2012,44
Belarus,rio-2016,34
Belarus,sydney-2000,52
Belarus,tokyo-2020,33
Belgium,athens-2004,9
Belgium,atlanta-1996,19
Belgium,barcelona-1992,24
Belgium,beijing-2008,14
Belgium,london-2012,20
Belgium,rio-2016,20
Belgium,sydney-2000,19
Belgium,tokyo-2020,33
Benin,rio-2016,1
Bermuda,athens-2004,1
Bermuda,atlanta-1996,1
Bermuda,barcelona-1992,1
Bermuda,sydney-2000,1
Bosnia and Herzegovina,barcelona-1992,1
Bosnia and Herzegovina,beijing-2008,1
Bosnia and Herzegovina,rio-2016,1
Bosnia and Herzegovina,sydney-2000,1
Bosnia and Herzegovina,tokyo-2020,2
Botswana,athens-2004,2
Botswana,beijing-2008,3
Botswana,london-2012,2
Botswana,rio-2016,2
Botswana,sydney-2000,1
Botswana,tokyo-2020,3
Brazil,athens-2004,29
Brazil,atlanta-1996,33
Brazil,barcelona-1992,21
Brazil,beijing-2008,36
Brazil,london-2012,48
Brazil,rio-2016,85
Brazil,sydney-2000,29
Brazil,tokyo-2020,55
Bulgaria,athens-2004,33
Bulgaria,atlanta-1996,40
Bulgaria,barcelona-1992,53
Bulgaria,beijing-2008,17
Bulgaria,london-2012,14
Bulgaria,rio-2016,18
Bulgaria,sydney-2000,24
Bulgaria,tokyo-2020,19
Burkina Faso,london-2012,1
Burkina Faso,sydney-2000,1
Burkina Faso,tokyo-2020,1
Burundi,atlanta-1996,2
Burundi,london-2012,1
Burundi,rio-2016,1
Burundi,sydney-2000,1
Burundi,tokyo-2020,2
Cameroon,athens-2004,5
Cameroon,atlanta-1996,2
Cameroon,beijing-2008,3
Cameroon,london-2012,4
Cameroon,rio-2016,2
Cameroon,sydney-2000,2
Cameroon,tokyo-2020,3
Canada,athens-2004,57
Canada,atlanta-1996,71
Canada,barcelona-1992,77
Canada,beijing-2008,69
Canada,london-2012,59
Canada,rio-2016,75
Canada,sydney-2000,73
Canada,tokyo-2020,90
Cape Verde,london-2012,1
Cape Verde,rio-2016,1
Cape Verde,tokyo-2020,2
Cayman Islands,beijing-2008,1
Central African Republic,rio-2016,1
Chile,athens-2004,3
Chile,barcelona-1992,1
Chile,beijing-2008,2
Chile,london-2012,3
Chile,rio-2016,3
Chile,sydney-2000,2
Chile,tokyo-2020,4
Chinese Taipei,athens-2004,16
Chinese Taipei,atlanta-1996,14
Chinese Taipei,barcelona-1992,1
Chinese Taipei,beijing-2008,13
Chinese Taipei,london-2012,16
Chinese Taipei,rio-2016,16
Chinese Taipei,sydney-2000,14
Chinese Taipei,tokyo-2020,30
Colombia,athens-2004,16
Colombia,atlanta-1996,3
Colombia,barcelona-1992,5
Colombia,beijing-2008,21
Colombia,london-2012,15
Colombia,rio-2016,26
Colombia,sydney-2000,7
Colombia,tokyo-2020,16
Congo,rio-2016,1
Costa Rica,athens-2004,3
Costa Rica,atlanta-1996,2
Costa Rica,barcelona-1992,1
Costa Rica,sydney-2000,2
Costa Rica,tokyo-2020,1
Croatia,athens-2004,17
Croatia,atlanta-1996,13
Croatia,barcelona-1992,11
Croatia,beijing-2008,18
Croatia,london-2012,17
Croatia,rio-2016,20
Croatia,sydney-2000,12
Croatia,tokyo-2020,21
Cuba,athens-2004,51
Cuba,atlanta-1996,62
Cuba,barcelona-1992,71
Cuba,beijing-2008,56
Cuba,london-2012,45
Cuba,rio-2016,39
Cuba,sydney-2000,69
Cuba,tokyo-2020,34
Cyprus,athens-2004,1
Cyprus,atlanta-1996,2
Cyprus,beijing-2008,3
Cyprus,london-2012,2
Cyprus,rio-2016,4
Cyprus,sydney-2000,2
Cyprus,tokyo-2020,3
Czech Republic,athens-2004,34
Czech Republic,atlanta-1996,32
Czech Republic,beijing-2008,31
Czech Republic,london-2012,36
Czech Republic,rio-2016,30
Czech Republic,sydney-2000,30
Czech Republic,tokyo-2020,25
Czechoslovakia,barcelona-1992,45
Côte d'Ivoire,tokyo-2020,3
Democratic People's Republic of Korea,athens-2004,15
Democratic People's Republic of Korea,atlanta-1996,9
Democratic People's Republic of Korea,barcelona-1992,23
Democratic People's Republic of Korea,beijing-2008,15
Democratic People's Republic of Korea,london-2012,18
Democratic People's Republic of Korea,rio-2016,18
Democratic People's Republic of Korea,sydney-2000,13
Democratic Republic of the Congo,barcelona-1992,1
Democratic Republic of the Congo,london-2012,1
Democratic Republic of the Congo,tokyo-2020,2
Denmark,athens-2004,29
Denmark,atlanta-1996,34
Denmark,barcelona-1992,26
Denmark,beijing-2008,23
Denmark,london-2012,40
Denmark,rio-2016,34
Denmark,sydney-2000,29
Denmark,tokyo-2020,32
Djibouti,rio-2016,1
Djibouti,tokyo-2020,1
Dominican Republic,athens-2004,5
Dominican Republic,atlanta-1996,2
Dominican Republic,barcelona-1992,3
Dominican Republic,beijing-2008,7
Dominican Republic,london-2012,7
Dominican Republic,rio-2016,4
Dominican Republic,sydney-2000,2
Dominican Republic,tokyo-2020,12
Ecuador,athens-2004,2
Ecuador,atlanta-1996,2
Ecuador,beijing-2008,5
Ecuador,london-2012,11
Ecuador,rio-2016,7
Ecuador,sydney-2000,2
Ecuador,tokyo-2020,10
Egypt,athens-2004,8
Egypt,atlanta-1996,4
Egypt,beijing-2008,13
Egypt,london-2012,22
Egypt,rio-2016,20
Egypt,sydney-2000,8
Egypt,tokyo-2020,27
El Salvador,atlanta-1996,1
El Salvador,beijing-2008,2
El Salvador,rio-2016,2
Eritrea,athens-2004,2
Eritrea,beijing-2008,3
Eritrea,london-2012,2
Eritrea,rio-2016,4
Eritrea,tokyo-2020,1
Estonia,athens-2004,7
Estonia,atlanta-1996,10
Estonia,barcelona-1992,11
Estonia,beijing-2008,6
Estonia,london-2012,5
Estonia,rio-2016,11
Estonia,sydney-2000,9
Estonia,tokyo-2020,6
Ethiopia,athens-2004,15
Ethiopia,atlanta-1996,6
Ethiopia,barcelona-1992,5
Ethiopia,beijing-2008,15
Ethiopia,london-2012,18
Ethiopia,rio-2016,15
Ethiopia,sydney-2000,16
Ethiopia,tokyo-2020,15
Federated States of Micronesia,athens-2004,1
Federated States of Micronesia,london-2012,1
Federated States of Micronesia,rio-2016,1
Fiji,barcelona-1992,1
Fiji,london-2012,1
Fiji,sydney-2000,2
Finland,athens-2004,10
Finland,atlanta-1996,17
Finland,barcelona-1992,29
Finland,beijing-2008,13
Finland,london-2012,14
Finland,rio-2016,8
Finland,sydney-2000,11
Finland,tokyo-2020,11
France,athens-2004,103
France,atlanta-1996,98
France,barcelona-1992,102
France,beijing-2008,110
France,london-2012,104
France,rio-2016,114
France,sydney-2000,114
France,tokyo-2020,107
Gabon,atlanta-1996,1
Gabon,london-2012,1
Gabon,rio-2016,2
Georgia,athens-2004,14
Georgia,atlanta-1996,16
Georgia,beijing-2008,14
Georgia,london-2012,15
Georgia,rio-2016,19
Georgia,sydney-2000,13
Georgia,tokyo-2020,21
Germany,athens-2004,145
Germany,atlanta-1996,196
Germany,barcelona-1992,193
Germany,beijing-2008,122
Germany,london-2012,136
Germany,rio-2016,122
Germany,sydney-2000,175
Germany,tokyo-2020,130
Ghana,athens-2004,3
Ghana,atlanta-1996,2
Ghana,barcelona-1992,2
Ghana,beijing-2008,2
Ghana,london-2012,1
Ghana,sydney-2000,3
Ghana,tokyo-2020,3
