country_name,slug_game,rank_position
Afghanistan,tokyo-1964,1
Albania,munich-1972,1
Algeria,los-angeles-1984,5
Algeria,moscow-1980,3
Algeria,munich-1972,1
Algeria,seoul-1988,4
American Samoa,seoul-1988,2
Andorra,montreal-1976,1
Andorra,seoul-1988,1
Angola,seoul-1988,1
Argentina,helsinki-1952,24
Argentina,london-1948,22
Argentina,los-angeles-1984,14
Argentina,melbourne-1956,12
Argentina,mexico-city-1968,13
Argentina,montreal-1976,6
Argentina,munich-1972,5
Argentina,rome-1960,14
Argentina,seoul-1988,6
Argentina,tokyo-1964,15
Australia,helsinki-1952,12
Australia,london-1948,19
Australia,los-angeles-1984,78
Australia,melbourne-1956,65
Australia,mexico-city-1968,33
Australia,montreal-1976,27
Australia,moscow-1980,40
Australia,munich-1972,39
Australia,rome-1960,32
Australia,seoul-1988,47
Australia,tokyo-1964,44
Austria,helsinki-1952,16
Austria,london-1948,14
Austria,los-angeles-1984,16
Austria,melbourne-1956,9
Austria,mexico-city-1968,10
Austria,montreal-1976,6
Austria,moscow-1980,11
Austria,munich-1972,10
Austria,rome-1960,11
Austria,seoul-1988,7
Austria,tokyo-1964,14
Bahamas,helsinki-1952,1
Bahamas,los-angeles-1984,2
Bahamas,melbourne-1956,2
Bahamas,mexico-city-1968,1
Bahamas,munich-1972,1
Bahamas,rome-1960,3
Bahamas,seoul-1988,1
Bahamas,tokyo-1964,3
Belgium,helsinki-1952,15
Belgium,london-1948,26
Belgium,los-angeles-1984,11
Belgium,melbourne-1956,8
Belgium,mexico-city-1968,7
Belgium,montreal-1976,9
Belgium,moscow-1980,8
Belgium,munich-1972,4
Belgium,rome-1960,16
Belgium,seoul-1988,9
Belgium,tokyo-1964,9
Benin,moscow-1980,1
Bermuda,london-1948,1
Bermuda,los-angeles-1984,1
Bermuda,montreal-1976,2
Bermuda,seoul-1988,1
Bermuda,tokyo-1964,1
Brazil,helsinki-1952,13
Brazil,london-1948,7
Brazil,los-angeles-1984,16
Brazil,melbourne-1956,5
Brazil,mexico-city-1968,9
Brazil,montreal-1976,11
Brazil,moscow-1980,16
Brazil,munich-1972,11
Brazil,rome-1960,8
Brazil,seoul-1988,12
Brazil,tokyo-1964,5
Bulgaria,helsinki-1952,3
Bulgaria,melbourne-1956,12
Bulgaria,mexico-city-1968,30
Bulgaria,montreal-1976,51
Bulgaria,moscow-1980,70
Bulgaria,munich-1972,40
Bulgaria,rome-1960,22
Bulgaria,seoul-1988,56
Bulgaria,tokyo-1964,20
Burkina Faso,seoul-1988,1
Cambodia,tokyo-1964,2
Cameroon,los-angeles-1984,4
Cameroon,mexico-city-1968,1
Cameroon,moscow-1980,2
Cameroon,munich-1972,1
Cameroon,seoul-1988,1
Canada,helsinki-1952,18
Canada,london-1948,19
Canada,los-angeles-1984,96
Canada,melbourne-1956,29
Canada,mexico-city-1968,30
Canada,montreal-1976,59
Canada,munich-1972,24
Canada,rome-1960,13
Canada,seoul-1988,58
Canada,tokyo-1964,20
Central African Republic,seoul-1988,1
Chile,helsinki-1952,2
Chile,london-1948,7
Chile,los-angeles-1984,2
Chile,melbourne-1956,5
Chile,mexico-city-1968,2
Chile,munich-1972,1
Chile,rome-1960,2
Chile,seoul-1988,1
Chile,tokyo-1964,2
Chinese Taipei,los-angeles-1984,3
Chinese Taipei,melbourne-1956,2
Chinese Taipei,munich-1972,2
Chinese Taipei,rome-1960,2
Chinese Taipei,seoul-1988,1
Chinese Taipei,tokyo-1964,2
Colombia,los-angeles-1984,9
Colombia,melbourne-1956,1
Colombia,mexico-city-1968,3
Colombia,montreal-1976,2
Colombia,moscow-1980,2
Colombia,munich-1972,9
Colombia,rome-1960,1
Colombia,seoul-1988,5
Colombia,tokyo-1964,1
Congo,moscow-1980,1
Cook Islands,seoul-1988,1
Costa Rica,moscow-1980,1
Costa Rica,seoul-1988,4
Cuba,helsinki-1952,1
Cuba,london-1948,3
Cuba,melbourne-1956,2
Cuba,mexico-city-1968,9
Cuba,montreal-1976,33
Cuba,moscow-1980,40
Cuba,munich-1972,19
Cuba,tokyo-1964,2
Czechoslovakia,helsinki-1952,18
Czechoslovakia,london-1948,9
Czechoslovakia,melbourne-1956,16
Czechoslovakia,mexico-city-1968,22
Czechoslovakia,montreal-1976,33
Czechoslovakia,moscow-1980,50
Czechoslovakia,munich-1972,27
Czechoslovakia,rome-1960,27
Czechoslovakia,seoul-1988,25
Czechoslovakia,tokyo-1964,23
Democratic People's Republic of Korea,montreal-1976,9
Democratic People's Republic of Korea,moscow-1980,15
Democratic People's Republic of Korea,munich-1972,6
Democratic Republic of the Congo,los-angeles-1984,1
Democratic Republic of the Congo,seoul-1988,1
Denmark,helsinki-1952,22
Denmark,london-1948,39
Denmark,los-angeles-1984,15
Denmark,melbourne-1956,9
Denmark,mexico-city-1968,15
Denmark,montreal-1976,11
Denmark,moscow-1980,19
Denmark,munich-1972,10
Denmark,rome-1960,15
Denmark,seoul-1988,19
Denmark,tokyo-1964,17
Dominican Republic,los-angeles-1984,4
Dominican Republic,montreal-1976,2
Dominican Republic,seoul-1988,3
Ecuador,montreal-1976,1
Ecuador,moscow-1980,2
Ecuador,munich-1972,1
Ecuador,seoul-1988,1
Egypt,helsinki-1952,18
Egypt,london-1948,17
Egypt,los-angeles-1984,13
Egypt,mexico-city-1968,5
Egypt,montreal-1976,1
Egypt,munich-1972,4
Egypt,seoul-1988,5
Egypt,tokyo-1964,12
El Salvador,seoul-1988,1
Ethiopia,melbourne-1956,1
