country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,59,1,25,56,48,23,,,6,154,80,,,,,,,,,,,,,
Afghanistan,,,,,1.3M,,,,,,,,,,,,,,,,,,,1.43M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,494k,546k,,,,,,,,,,,,,,,959k,,,,,,,,,,456k,514k,511k,550k,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,4110,3630,,4550,2810,,,,434,1060,259,334,405,666,,,1860,2720,2620,3380,5480,10k,14.8k,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2720,2600,2520,373,390,357,345,342,367,427,372,322,
UAE,,,,,,,,,14.1k,,20.7k,27.2k,21.7k,28.7k,32.9k,39k,44k,32.5k,30.4k,23.5k,16.1k,13.3k,18.2k,24.8k,27.7k,24.8k,31.6k,38.8k,26k,,,,17.6k,17.8k,22.6k,22.5k,22.2k,25.7k,,46.6k,39.2k,30.8k,12.7k,6080,,,,5880,,9580,4010,,,
Argentina,157k,,,,119k,144k,,,,,,,,,,,,109k,,,,164k,,,,,,0,,33k,20.9k,23.2k,23.3k,20.7k,4900,12k,18.9k,24k,20.9k,19.9k,2750,4890,6070,15.8k,32.5k,36.8k,21.8k,24.9k,27.5k,26.7k,36k,34.7k,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4k,23.1k,,17.3k,14.7k,10.9k,,,,9540,8540,3590,2740,525,950,1380,1480,5470,8330,13.3k,15.6k,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,37,154,320,128,39,312,37,80,111,128,84,23.1,,,,
Australia,,38.6k,,59.3k,60.2k,21.7k,15.2k,2830,1200,8300,18.7k,22.5k,30.3k,34.5k,49.4k,48.5k,42.8k,39.2k,33.4k,31k,29k,32.6k,37.1k,42.6k,44.4k,81.1k,77.4k,84k,79.5k,81k,88.3k,8980,6250,26k,21k,10.7k,9020,4900,5590,5770,6180,52.5k,45.4k,971,1480,592,168,1270,4290,4840,13.2k,8350,6720,
Austria,,49.4k,49.5k,52.5k,53.8k,52.1k,52.5k,,,,,,,,,,,,,42.5k,,,,,,,,,,4620,7720,6620,7190,7430,5520,5680,6800,5220,4630,4640,4230,6680,6280,4810,4200,4350,6550,4410,4210,4150,3980,3230,5780,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2k,79.1k,79.9k,88.7k,78.1k,77.4k,73.3k,71.3k,70.4k,61.7k,64.1k,50k,38.5k,8540,3640,5980,4340,12.2k,24.8k,55.7k,54.3k,52.9k,27.4k,
Burundi,,,,464k,,,,,547k,,566k,567k,555k,527k,506k,487k,479k,459k,455k,,,,,556k,,,,,,,657k,562k,543k,509k,495k,452k,237k,144k,51.3k,83.3k,37.6k,30.7k,50.1k,140k,97k,141k,178k,271k,342k,389k,392k,432k,457k,
