country,pop,fertility,child,gdp,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity,score
Albania,0.0023374904284053,0.15458373756228516,0.07962110078385687,0.04618254198196335,0.55,0.6,0.475,0.45,1.375
Algeria,0.02620531657656351,0.3162089252949912,0.1572177476496563,0.056437160837658096,0.5,0.36,0.24,0.64,10.75
Angola,0.01608698373580131,0.8128261470800006,0.7475209564988003,0.031051484729179787,0.516666667,0.483333333,0.333333333,0.5,1.125
Argentina,0.030091839479561212,0.22002853525266283,0.06999124363926736,0.11948193172798788,0.423076923,0.469230769,0.338461538,0.453846154,16.375
Armenia,0.0023612570318297123,0.1218490287429977,0.10675216687685332,0.041279227410775214,0.48,0.46,0.42,0.44,9.125
Australia,0.016054786484145864,0.13340622471120617,0.012043604303465762,0.2527015178064811,0.6,0.583333333,0.475,0.466666667,115.25
Austria,0.0063240808843108625,0.07658350193125046,0.009906745892047413,0.2923690922278982,0.375,0.35,0.325,0.35,19.875
Azerbaijan,0.006665198611463475,0.1638125746088062,0.24614261829375714,0.04911101179833888,0.5,0.5,0.425,0.4375,16.625
Bahamas,0.0002581699965517875,0.15115096330356356,0.059800469954098504,0.20994956652904828,0.7,0.7,0.6,0.3,5.625
Bangladesh,0.10923082781888353,0.28813410778147264,0.3181318688540704,0.014948960313718264,0.7,0.766666667,0.633333333,0.266666667,0.125
Belarus,0.007447602997746138,0.0774874999445572,0.025858456735820375,0.07417327901034551,0.5,0.5,0.45,0.45,39.5
Belgium,0.008146126367736825,0.11306535464791262,0.011485013793793075,0.2700948589949702,0.5,0.6,0.5,0.5,19.75
Benin,0.00676744192363195,0.7175371553553929,0.6425071498532083,0.012424871038030987,0.55,0.55,0.45,0.4,0.125
Bosnia and Herzegovina,0.0029441465140411125,0.06888574477742462,0.030782473573345136,0.047546307414935714,0.575,0.625,0.5,0.45,0.75
Botswana,0.001421849294056425,0.35171633000124575,0.29506134057152633,0.0706321736028167,0.5,0.3,0.2,0.65,1.625
Brazil,0.14001138138850583,0.1647770655087661,0.12364991043190154,0.07558327302429152,0.644444444,0.744444444,0.6,0.311111111,42.0
Bulgaria,0.00589148786906305,0.07661083100967844,0.04998128612313075,0.09106612747696091,0.56,0.62,0.5,0.46,27.25
Burkina Faso,0.011225600328272087,0.7625034428637558,0.6873115727994206,0.005828702212880175,0.566666667,0.433333333,0.333333333,0.533333333,0.375
Burundi,0.006430144354039125,0.8251076974340592,0.5682628931852554,0.00210105161226685,0.55,0.75,0.5,0.25,0.875
Cameroon,0.013786355165631226,0.6627893908898862,0.6011391487124776,0.016028298598202477,0.72,0.64,0.56,0.38,2.625
Canada,0.025109387248883598,0.09746113707979255,0.016421301349868977,0.25907490143003226,0.358333333,0.358333333,0.325,0.35,71.375
Central African Republic,0.00316509385111295,0.7667541638524898,0.80868591984558,0.002847406385271775,0.666666667,0.666666667,0.566666667,0.333333333,0.125
Chile,0.012558915267001125,0.1405440599432395,0.036271607530115046,0.1115878353468982,0.4125,0.3625,0.2875,0.525,2.25
China,1.0,0.10066629363768713,0.10574349603693137,0.039441399193885375,0.43125,0.45625,0.36875,0.35,133.5
Colombia,0.03211782124189842,0.1970648487406242,0.09616953058493585,0.06569597514164059,0.644444444,0.677777778,0.544444444,0.366666667,13.625
Congo Dem. Rep.,0.04810595611939965,0.8510042202303096,0.6800845896315741,0.0022315747373861123,0.85,0.875,0.775,0.2,0.5
Costa Rica,0.0032216789326222624,0.1753373060529576,0.04392413116988915,0.0872053479712516,0.775,0.8,0.725,0.275,1.125
Croatia,0.0033115238108089875,0.08653734313808079,0.019842149981116212,0.12810040240518822,0.575,0.675,0.525,0.475,16.125
Cuba,0.008498770023450538,0.09251099138308529,0.022594292069204436,0.03329322182061385,0.8,0.833333333,0.7,0.233333333,53.375
Cyprus,0.0007969907273795625,0.10360698080533817,0.009310671579102574,0.19777132950348217,0.55,0.6,0.4,0.45,2.125
Czech Republic,0.007918086377350775,0.08012209466461523,0.009556824575280112,0.17551075299589983,0.5,0.5,0.45,0.45,27.25
Denmark,0.004171995035202637,0.125390764391882,0.01091035380397965,0.2984010116779677,0.5,0.6,0.5,0.5,30.875
Djibouti,0.00064310733652635,0.4599355471997815,0.4307566830009801,0.017474600622117576,0.5,0.3,0.2,0.65,0.25
Dominican Republic,0.007057525628188063,0.2641912641019847,0.18711229317775818,0.06338700350006261,0.78,0.82,0.72,0.26,5.25
Ecuador,0.010722623446837663,0.27126166310927224,0.10944563697608127,0.051423237493412564,0.65,0.7375,0.6,0.3125,4.875
Egypt,0.06354519201604003,0.3742078059064682,0.18137883949170872,0.05040766995635272,0.5,0.233333333,0.166666667,0.733333333,12.75
El Salvador,0.004564256602817987,0.25193132200867185,0.11729657245576135,0.039808040087381986,0.7,0.7,0.6,0.3,0.625
Eritrea,0.00198749438513455,0.6039338618907448,0.35089169676177684,0.007179020515274788,0.566666667,0.433333333,0.333333333,0.533333333,1.5
Estonia,0.001052596098771825,0.09095527997505673,0.021071161186855474,0.1416081565830366,0.5,0.4,0.4,0.4,8.125
Eswatini,0.0008148479894807375,0.4192290944510107,0.46503662280122166,0.03563613768767885,0.5,0.65,0.45,0.325,0.125
Ethiopia,0.06248570823255878,0.7269522384615452,0.5319481342786286,0.0034028065213959997,0.588888889,0.644444444,0.488888889,0.388888889,13.125
Fiji,0.0006573183884154125,0.28670811301326043,0.12140509931271577,0.056813258095626935,0.95,0.95,0.9,0.15,0.5
Finland,0.004030052866585737,0.11718997910135043,0.001597926522780875,0.25065948493126483,0.333333333,0.266666667,0.266666667,0.3,14.125
France,0.047114139589618624,0.1401079918149476,0.010551804040655751,0.24774313331376663,0.625,0.675,0.575,0.375,106.5
Gabon,0.0012002943322676875,0.5126488299494334,0.34717407770701114,0.09100780059172794,0.85,0.875,0.775,0.2,0.5
Georgia,0.0032512070329582003,0.14172538341377885,0.10214158925934226,0.044866073578466434,0.45,0.433333333,0.4,0.366666667,14.0
Germany,0.06258737664216833,0.07296682035086635,0.009224227170004075,0.27466039488110217,0.333333333,0.333333333,0.3,0.333333333,152.375
Ghana,0.01773159217272384,0.5272850061654459,0.4007448532573785,0.017565359983676688,0.666666667,0.666666667,0.566666667,0.333333333,2.0
Great Britain,0.04710602310693278,0.12346306037175445,0.014664792918414913,0.23916677523279956,0.45,0.55,0.45,0.45,110.375
Greece,0.0082228533201821,0.06769650806190308,0.013446817916408175,0.17637073791921037,0.56,0.62,0.5,0.46,25.375
Guatemala,0.010141127344871626,0.4402209651796035,0.20547488796127877,0.04043246170119121,0.7,0.8,0.66,0.26,1.75
Guinea-Bissau,0.001103901192349725,0.6612752441847366,0.6979862773451139,0.00633671211446465,0.75,0.8,0.65,0.25,0.25
Guyana,0.0005789059617285249,0.28513125705245307,0.2039398853802315,0.054769204706788685,0.866666667,0.866666667,0.8,0.2,0.25
