country,pop,fertility,child,gdp,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity,score
Albania,0.00028554482369893246,0.0668237331621445,0.019295007730453485,0.013908880134457914,0.0,0.0,0.0,0.0,1.0606601717798212
Algeria,0.0029724060840943664,0.07510043832647968,0.015455829112842236,0.0044370496832139466,0.0,0.0,0.0,0.0,2.434865792722759
Angola,0.004759375897218512,0.03134521907494827,0.09506128080840741,0.004975275754097755,0.0,0.0,0.0,0.0,0.6408699444616557
Argentina,0.0011476601975925938,0.03955074023444793,0.0023935443794165833,0.014018854303414105,0.0,0.0,0.0,0.0,2.9730936268953445
Armenia,0.0003450640056753256,0.04921167637512245,0.01476749198633777,0.016043360570984478,0.0,0.0,0.0,0.0,4.969550137731641
Australia,0.001252213336089452,0.016488832189975794,0.003191326988971736,0.02030990553211899,0.0,0.0,0.0,0.0,19.477092772206603
Austria,0.00015807823486465236,0.02292016854896339,0.0024577790418307877,0.029833517482486,0.0,0.0,0.0,0.0,3.9074105418879572
Azerbaijan,0.00031633486873063396,0.0446159890520695,0.06302896694750493,0.02055833284774775,0.0,0.0,0.0,0.0,9.62047667366703
Bahamas,1.0276741451316945e-05,0.0478320624999046,0.008602428558480294,0.05231501555558152,0.0,0.0,0.0,0.0,2.0658792662827956
Bangladesh,0.006661336241925205,0.07979809114832101,0.0671094956657376,0.005775827807935551,0.0,0.0,0.0,0.0,0.3535533905932738
Belarus,0.0007677762516747011,0.033962225425497296,0.010981238492832583,0.01710273866985762,0.0,0.0,0.0,0.0,17.968225924034428
Belgium,0.0001588277660624463,0.020654220697754185,0.002531383862485618,0.029450337906981743,0.0,0.0,0.0,0.0,7.00510018282598
Benin,0.0015969984127476118,0.03781686287164188,0.09081934107542221,0.0018340361320106232,0.0,0.0,0.0,0.0,0.3535533905932738
Bosnia and Herzegovina,0.0004449675063203034,0.0362288631526155,0.004087804664880555,0.017678482541458096,0.0,0.0,0.0,0.0,0.7071067811865476
Botswana,0.0001718901077581229,0.0459960348896849,0.061968795214041764,0.0038849190080241435,0.0,0.0,0.0,0.0,1.1877349391654208
Brazil,0.00583571015343944,0.04493188066197409,0.025332690661890898,0.007427942735948391,0.0,0.0,0.0,0.0,20.528725518857016
Bulgaria,0.00083990533387891,0.03473000089841439,0.006319512972546784,0.013625388865713725,0.0,0.0,0.0,0.0,13.646035531035587
Burkina Faso,0.0025500965209101006,0.06586034760449369,0.060970735882495034,0.0015388506015383608,0.0,0.0,0.0,0.0,0.5175491695067657
Burundi,0.00156704660200011,0.05346097444037173,0.07318169668455854,0.0021726055526834357,0.0,0.0,0.0,0.0,0.8345229603962802
Cameroon,0.0029957003336578856,0.03712216257881572,0.0703655697356227,0.0022985883328653397,0.0,0.0,0.0,0.0,1.5059406173077154
Canada,0.0009750355949754052,0.012213047086384416,0.008382052897254345,0.030000093685201578,0.0,0.0,0.0,0.0,10.418904521521034
Central African Republic,0.00033575859595607406,0.0890668823300665,0.150714656714194,0.0014976175541993755,0.0,0.0,0.0,0.0,0.3535533905932738
Chile,0.0006051076145921984,0.04151050792824383,0.006562893571159414,0.007868136564064987,0.0,0.0,0.0,0.0,1.2817398889233114
China,8.392497208503151e-17,0.02333572657060625,0.04048454761791436,0.024236932309273308,0.0,0.0,0.0,0.0,26.14246681988086
Colombia,0.0023471543763358953,0.055055283273074254,0.0061697400278469434,0.007775462839478877,0.0,0.0,0.0,0.0,8.03452372132732
Congo Dem. Rep.,0.0122822202213411,0.05679247477816322,0.052390534099906315,0.0021645874924345015,0.0,0.0,0.0,0.0,0.7559289460184544
Costa Rica,0.0002640025535420827,0.06138645899178559,0.009077668680232433,0.007093521768674089,0.0,0.0,0.0,0.0,1.1259916264596033
Croatia,0.00041847158689798503,0.028709607470634783,0.002485975168387916,0.010873224614813133,0.0,0.0,0.0,0.0,3.720119045714225
Cuba,0.0004632544611647812,0.016154994370427958,0.003035092401508258,0.0062354188810997795,0.0,0.0,0.0,0.0,13.595561250433382
Cyprus,8.063624695035455e-05,0.0470855054337131,0.004317766950130086,0.01619569036515354,0.0,0.0,0.0,0.0,1.246423454758225
Czech Republic,0.0004592497077617938,0.05404232603392811,0.004256970274982438,0.009384673790741562,0.0,0.0,0.0,0.0,11.473572117821771
Denmark,0.00010867550583368794,0.021610259174650433,0.005427115485067707,0.037642199272147646,0.0,0.0,0.0,0.0,5.3033008588991075
Djibouti,9.214801386833473e-05,0.12670672951858716,0.042574449743907825,0.004648463583774791,0.0,0.0,0.0,0.0,0.4629100498862757
Dominican Republic,0.0005049715981441806,0.03174663304234169,0.029696170234742695,0.012495870201952291,0.0,0.0,0.0,0.0,3.370036032024414
Ecuador,0.0010955698875330694,0.06185054873095558,0.015138274554070127,0.006687484188448946,0.0,0.0,0.0,0.0,4.086126352846736
Egypt,0.008945779113056863,0.032766779152318536,0.027679169456152935,0.0029752644636220223,0.0,0.0,0.0,0.0,9.452890714334048
El Salvador,0.0001421618534323893,0.08770597805297468,0.02167592663220132,0.0033361519383504723,0.0,0.0,0.0,0.0,0.9161253813129042
Eritrea,0.00028490235834665375,0.07736152616383148,0.040559193113420974,0.002959733897090272,0.0,0.0,0.0,0.0,1.5118578920369088
Estonia,0.0001313176747559223,0.030979690017414012,0.013054018885992733,0.02426185462602388,0.0,0.0,0.0,0.0,2.416461403433896
