year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Argentina,Australia,Austria,Bahamas,Barbados,Belgium,Benin,Bermuda,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,Chinese Taipei,Colombia,Congo,Cook Islands,Costa Rica,Cuba,Czechoslovakia,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Federal Republic of Germany,Fiji,Finland,France,Gabon,German Democratic Republic (Germany),Germany,Ghana,Great Britain,Greece,Grenada,Guatemala,Guyana,Haiti,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iraq,Ireland,Islamic Republic of Iran,Israel,Italy,Ivory Coast,Jamaica,Japan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Luxembourg,Madagascar,Malawi,Malaya,Malaysia,Mali,Malta,Mexico,Mongolia,Morocco,Mozambique,Myanmar,Nepal,Netherlands,Netherlands Antilles,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,People's Republic of China,Peru,Philippines,Poland,Portugal,Puerto Rico,Republic of Korea,Rhodesia,Romania,Saar,Samoa,San Marino,Senegal,Seychelles,Sierra Leone,Singapore,South Africa,Soviet Union,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,US Virgin Islands,Uganda,United Arab Republic,United Republic of Tanzania,United States of America,Uruguay,Venezuela,Vietnam,West Indies Federation,Yugoslavia,Zambia,Zimbabwe
1948,1.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,27.0,0.0,0.0,31.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,47.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,48.0,80.0,0.0,0.0,0.0,0.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,8.0,8.0,0.0,49.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,1.0,0.0,0.0,29.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,9.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,5.0,0.0,0.0,83.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,134.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,20.0,1.0,0.0,17.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,58.0,54.0,0.0,0.0,61.0,0.0,62.0,3.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,5.0,1.0,0.0,3.0,16.0,1.0,59.0,0.0,7.0,18.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,25.0,1.0,7.0,0.0,1.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,3.0,2.0,7.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,106.0,3.0,1.0,0.0,0.0,73.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,111.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,13.0,94.0,10.0,2.0,0.0,10.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,43.0,0.0,0.0,63.0,0.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,3.0,1.0,0.0,8.0,12.0,0.0,53.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,2.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,1.0,0.0,12.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,133.0,0.0,1.0,0.0,0.0,43.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,133.0,2.0,3.0,0.0,0.0,10.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.0,12.0,3.0,0.0,18.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,47.0,0.0,0.0,101.0,5.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,6.0,0.0,6.0,8.0,14.0,0.0,74.0,0.0,0.0,34.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,29.0,0.0,13.0,0.0,1.0,9.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,66.0,2.0,1.0,12.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,146.0,6.0,0.0,0.0,0.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,3.0,12.0,0.0,125.0,2.0,4.0,0.0,4.0,16.0,0.0,0.0
1964,1.0,0.0,0.0,0.0,0.0,0.0,15.0,61.0,14.0,4.0,0.0,13.0,0.0,1.0,6.0,24.0,0.0,2.0,0.0,26.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,18.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,21.0,44.0,0.0,0.0,118.0,8.0,69.0,3.0,0.0,0.0,1.0,0.0,1.0,66.0,0.0,3.0,0.0,2.0,2.0,10.0,0.0,53.0,2.0,5.0,61.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,2.0,27.0,0.0,14.0,1.0,5.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,61.0,2.0,2.0,14.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,5.0,1.0,0.0,0.0,31.0,15.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,5.0,0.0,0.0,156.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,13.0,50.0,14.0,1.0,0.0,9.0,0.0,0.0,10.0,33.0,0.0,0.0,1.0,34.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,14.0,28.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,7.0,90.0,0.0,16.0,65.0,0.0,88.0,0.0,5.0,49.0,9.0,0.0,2.0,1.0,0.0,0.0,57.0,0.0,4.0,0.0,0.0,4.0,8.0,1.0,51.0,0.0,4.0,34.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,2.0,0.0,1.0,0.0,31.0,0.0,10.0,1.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,57.0,0.0,5.0,8.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,145.0,10.0,1.0,0.0,0.0,32.0,15.0,0.0,2.0,0.0,0.0,4.0,3.0,11.0,0.0,7.0,0.0,0.0,186.0,4.0,3.0,0.0,0.0,16.0,2.0,0.0
1972,0.0,1.0,1.0,0.0,0.0,0.0,5.0,47.0,13.0,1.0,0.0,10.0,0.0,0.0,12.0,49.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,22.0,38.0,6.0,0.0,12.0,0.0,0.0,1.0,4.0,0.0,5.0,102.0,0.0,31.0,35.0,0.0,131.0,0.0,5.0,50.0,7.0,0.0,1.0,0.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,8.0,11.0,0.0,49.0,0.0,4.0,33.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,16.0,7.0,1.0,0.0,2.0,0.0,29.0,0.0,13.0,1.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,1.0,3.0,7.0,0.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,137.0,13.0,0.0,0.0,0.0,42.0,12.0,0.0,4.0,0.0,0.0,1.0,3.0,6.0,1.0,4.0,0.0,2.0,173.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,1.0,0.0,6.0,34.0,7.0,0.0,0.0,17.0,0.0,2.0,14.0,62.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,38.0,9.0,0.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,104.0,0.0,28.0,50.0,0.0,158.0,0.0,0.0,58.0,6.0,0.0,2.0,0.0,2.0,1.0,60.0,1.0,2.0,1.0,0.0,6.0,18.0,4.0,56.0,0.0,8.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,0.0,0.0,15.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,66.0,4.0,7.0,7.0,0.0,56.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,180.0,14.0,0.0,0.0,0.0,41.0,8.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,167.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0
1980,0.0,0.0,3.0,0.0,0.0,0.0,0.0,48.0,15.0,0.0,0.0,11.0,1.0,0.0,20.0,89.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,52.0,61.0,15.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,45.0,49.0,0.0,193.0,0.0,0.0,82.0,12.0,0.0,0.0,3.0,0.0,0.0,90.0,1.0,6.0,0.0,9.0,9.0,0.0,0.0,52.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,1.0,24.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,3.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,244.0,28.0,0.0,0.0,0.0,60.0,13.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,35.0,6.0,2.0
1984,0.0,0.0,5.0,0.0,0.0,0.0,14.0,95.0,17.0,5.0,1.0,13.0,0.0,1.0,19.0,0.0,0.0,0.0,4.0,123.0,0.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,4.0,0.0,13.0,0.0,0.0,157.0,0.0,39.0,85.0,0.0,0.0,0.0,1.0,130.0,18.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,3.0,2.0,9.0,0.0,5.0,103.0,2.0,16.0,57.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,23.0,0.0,4.0,0.0,0.0,0.0,47.0,0.0,37.0,0.0,15.0,29.0,0.0,4.0,1.0,0.0,1.0,53.0,1.0,2.0,0.0,7.0,9.0,34.0,0.0,66.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,35.0,0.0,2.0,0.0,62.0,26.0,3.0,1.0,0.0,4.0,2.0,2.0,17.0,0.0,8.0,0.0,5.0,251.0,2.0,8.0,0.0,0.0,28.0,5.0,2.0
