country,1956
Afghanistan,383.0
Angola,320.0
Albania,220.0
Andorra,49.2
UAE,231.0
Argentina,76.6
Armenia,122.0
Antigua and Barbuda,103.0
Australia,27.3
Austria,51.8
Azerbaijan,149.0
Burundi,265.0
Belgium,42.7
Benin,328.0
Burkina Faso,360.0
Bangladesh,290.0
Bulgaria,109.0
Bahrain,280.0
Bahamas,40.1
Bosnia and Herzegovina,174.0
Belarus,71.1
Belize,152.0
Bolivia,303.0
Brazil,190.0
Barbados,126.0
Brunei,119.0
Bhutan,360.0
Botswana,194.0
Central African Republic,300.0
Canada,37.0
Switzerland,30.2
Chile,186.0
China,270.0
Cote d'Ivoire,351.0
Cameroon,314.0
"Congo, Dem. Rep.",284.0
"Congo, Rep.",206.0
Colombia,156.0
Comoros,309.0
Cape Verde,235.0
Costa Rica,121.0
Cuba,42.7
Cyprus,69.6
Czech Republic,36.1
Germany,48.4
Djibouti,267.0
Dominica,162.0
Denmark,28.1
Dominican Republic,149.0
Algeria,243.0
Ecuador,202.0
Egypt,352.0
Eritrea,309.0
Spain,73.3
Estonia,56.8
Ethiopia,302.0
Finland,34.0
Fiji,95.3
France,37.4
"Micronesia, Fed. Sts.",131.0
Gabon,238.0
UK,28.7
Georgia,112.0
Ghana,223.0
Guinea,356.0
Gambia,390.0
Guinea-Bissau,333.0
Equatorial Guinea,323.0
Greece,49.3
Grenada,110.0
Guatemala,241.0
Guyana,113.0
"Hong Kong, China",72.6
Honduras,239.0
Holy See,154.0
Croatia,91.4
Haiti,301.0
Hungary,65.6
Indonesia,249.0
India,258.0
Ireland,41.2
Iran,351.0
Iraq,246.0
Iceland,23.6
Israel,51.1
Italy,59.4
Jamaica,99.1
Jordan,197.0
Japan,54.0
Kazakhstan,117.0
Kenya,242.0
Kyrgyz Republic,158.0
Cambodia,271.0
Kiribati,214.0
St. Kitts and Nevis,157.0
South Korea,153.0
Kuwait,169.0
Lao,264.0
Lebanon,85.8
Liberia,307.0
Libya,345.0
St. Lucia,160.0
Liechtenstein,40.1
Sri Lanka,114.0
Lesotho,203.0
Lithuania,74.9
Luxembourg,53.1
Latvia,61.5
Morocco,257.0
Monaco,18.7
Moldova,108.0
Madagascar,265.0
Maldives,349.0
Mexico,186.0
Marshall Islands,131.0
North Macedonia,130.0
Mali,429.0
Malta,50.6
Myanmar,275.0
Montenegro,121.0
Mongolia,242.0
Mozambique,296.0
Mauritania,278.0
Mauritius,136.0
Malawi,378.0
Malaysia,119.0
Namibia,140.0
Niger,326.0
Nigeria,350.0
Nicaragua,201.0
Netherlands,24.0
Norway,25.2
Nepal,330.0
Nauru,113.0
New Zealand,30.7
Oman,401.0
Pakistan,295.0
Panama,100.0
Peru,257.0
Philippines,121.0
Palau,56.6
Papua New Guinea,224.0
Poland,94.2
North Korea,138.0
Portugal,124.0
Paraguay,85.9
Palestine,205.0
Qatar,150.0
Romania,117.0
Russia,93.1
Rwanda,246.0
Saudi Arabia,256.0
Sudan,189.0
Senegal,307.0
Singapore,66.3
Solomon Islands,217.0
Sierra Leone,413.0
El Salvador,203.0
San Marino,81.1
Somalia,288.0
Serbia,123.0
South Sudan,367.0
Sao Tome and Principe,197.0
Suriname,106.0
Slovak Republic,57.8
Slovenia,27.5
Sweden,21.1
Eswatini,222.0
Seychelles,110.0
Syria,213.0
Chad,304.0
Togo,288.0
Thailand,168.0
Tajikistan,209.0
Turkmenistan,199.0
Timor-Leste,364.0
Tonga,113.0
Trinidad and Tobago,77.8
Tunisia,308.0
Turkey,283.0
Tuvalu,129.0
Taiwan,103.0
Tanzania,250.0
Uganda,241.0
Ukraine,68.9
Uruguay,62.0
USA,32.3
Uzbekistan,180.0
St. Vincent and the Grenadines,163.0
Venezuela,93.0
Vietnam,120.0
Vanuatu,167.0
Samoa,147.0
Yemen,427.0
South Africa,209.0
Zambia,223.0
Zimbabwe,167.0
