country,2008
Afghanistan,96.0
Angola,138.0
Albania,15.5
Andorra,4.62
UAE,8.93
Argentina,15.3
Armenia,20.5
Antigua and Barbuda,10.8
Australia,5.21
Austria,4.54
Azerbaijan,43.1
Burundi,103.0
Belgium,4.64
Benin,116.0
Burkina Faso,129.0
Bangladesh,55.4
Bulgaria,11.4
Bahrain,9.35
Bahamas,13.7
Bosnia and Herzegovina,7.9
Belarus,6.55
Belize,19.9
Bolivia,46.4
Brazil,20.7
Barbados,15.1
Brunei,9.47
Bhutan,48.1
Botswana,59.3
Central African Republic,157.0
Canada,5.81
Switzerland,4.72
Chile,8.89
China,18.5
Cote d'Ivoire,115.0
Cameroon,116.0
"Congo, Dem. Rep.",124.0
"Congo, Rep.",68.8
Colombia,19.7
Comoros,92.4
Cape Verde,25.8
Costa Rica,10.3
Cuba,6.51
Cyprus,4.03
Czech Republic,3.72
Germany,4.38
Djibouti,81.3
Dominica,18.3
Denmark,4.31
Dominican Republic,35.1
Algeria,29.4
Ecuador,20.1
Egypt,31.6
Eritrea,59.8
Spain,4.19
Estonia,5.43
Ethiopia,92.8
Finland,3.36
Fiji,23.8
France,4.34
"Micronesia, Fed. Sts.",42.5
Gabon,68.0
UK,5.57
Georgia,17.2
Ghana,76.4
Guinea,123.0
Gambia,83.1
Guinea-Bissau,126.0
Equatorial Guinea,120.0
Greece,3.97
Grenada,14.2
Guatemala,37.8
Guyana,39.0
"Hong Kong, China",2.91
Honduras,25.7
Holy See,26.1
Croatia,5.9
Haiti,83.3
Hungary,6.52
Indonesia,37.0
India,64.7
Ireland,4.44
Iran,21.8
Iraq,36.9
Iceland,2.83
Israel,4.9
Italy,4.14
Jamaica,19.2
Jordan,21.5
Japan,3.41
Kazakhstan,24.6
Kenya,63.9
Kyrgyz Republic,33.8
Cambodia,51.8
Kiribati,66.2
St. Kitts and Nevis,15.6
South Korea,4.53
Kuwait,10.9
Lao,75.0
Lebanon,11.4
Liberia,106.0
Libya,18.8
St. Lucia,18.6
Liechtenstein,7.37
Sri Lanka,12.4
Lesotho,116.0
Lithuania,7.38
Luxembourg,3.2
Latvia,8.82
Morocco,35.0
Monaco,4.18
Moldova,17.7
Madagascar,72.8
Maldives,16.2
Mexico,18.4
Marshall Islands,39.3
North Macedonia,11.7
Mali,141.0
Malta,6.78
Myanmar,88.9
Montenegro,8.01
Mongolia,31.4
Mozambique,114.0
Mauritania,103.0
Mauritius,15.8
Malawi,97.8
Malaysia,7.89
Namibia,54.1
Niger,140.0
Nigeria,142.0
Nicaragua,22.3
Netherlands,4.77
Norway,3.54
Nepal,52.0
Nauru,39.3
New Zealand,6.28
Oman,12.0
Pakistan,92.4
Panama,21.1
Peru,22.3
Philippines,32.8
Palau,24.5
Papua New Guinea,61.0
Poland,6.67
North Korea,31.8
Portugal,4.08
Paraguay,27.7
Palestine,24.3
Qatar,9.5
Romania,13.0
Russia,11.2
Rwanda,78.6
Saudi Arabia,13.8
Sudan,80.4
Senegal,75.5
Singapore,2.84
Solomon Islands,27.2
Sierra Leone,180.0
El Salvador,21.3
San Marino,3.32
Somalia,166.0
Serbia,7.95
South Sudan,121.0
Sao Tome and Principe,51.2
Suriname,26.4
Slovak Republic,7.43
Slovenia,3.58
Sweden,3.21
Eswatini,108.0
Seychelles,13.9
Syria,16.7
Chad,158.0
Togo,95.1
Thailand,14.7
Tajikistan,46.8
Turkmenistan,63.9
Timor-Leste,68.5
Tonga,17.0
Trinidad and Tobago,24.8
Tunisia,19.4
Turkey,20.0
Tuvalu,33.5
Taiwan,6.43
Tanzania,79.9
Uganda,88.5
Ukraine,12.9
Uruguay,11.9
USA,7.61
Uzbekistan,41.4
St. Vincent and the Grenadines,21.9
Venezuela,17.1
Vietnam,23.7
Vanuatu,29.0
Samoa,18.9
Yemen,61.0
South Africa,64.8
Zambia,90.4
Zimbabwe,97.0
