country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,44.6,25.3,52.4,35.9,36.6,30.1,11.1,21.7,22.1,27.2,27.1,28.6,47.6,20.8,18.6,12.8,16.9,14,10.9,4.89,14.2,19.6,25.1,11.6,12.3,16,21.9,34.3,24.2,20.4,18.3,14.8,11.5,11.4,6.82,11,7.32,6.91,5.5,4.94,6.68
Austria,,,30.1,59.4,,,4.83,13.3,3.03,0.512,40.3,28.2,9.58,19.4,49,79.8,52.1,61.5,34.7,53.8,54.8,59,38.3,13.7,43.1,54.2,28,43.6,18.7,4.61,5.77,1.62,1.49,3.23,3.45,22.6,4.92,3.04,3.75,5.72,10.8
Belgium,25.1,20.3,36.7,20.4,3.23,1.41,8.85,4.5,9.7,10.6,5.2,9.34,12.3,12.9,3.94,5.35,17.2,16.1,17.1,18.2,17.4,19.4,8.15,12.9,10.6,9.84,9.67,11.9,11.4,6.45,5.92,6.28,4.78,7.31,11.5,10.3,12.6,14.1,13.1,10.9,10
Canada,30.4,39,69.6,63.3,51.9,48.9,52.3,37,19.6,23.7,41.8,49,49.8,14.3,28.3,24.4,15.7,52.1,17.4,33.7,37.6,31.2,14.9,30.2,23.4,25.1,26.4,30.6,27.9,17.2,16.2,14.3,12.2,8.46,10.3,5.41,6.78,5.43,7.64,4.6,9.93
Switzerland,,,1.14,3.88,,0.818,4.14,7.92,39.3,14.2,9.94,1.91,2.77,8.63,16.8,2.77,2.48,30.4,16.3,14.6,24.7,11.5,15.4,6.13,20.6,8.75,7.81,3.02,7.1,17.5,,13.4,15.1,11.2,12.6,16.9,14.3,14.6,13.2,12.9,14.5
Germany,27.2,42.4,60.9,39.3,21.3,20.5,21.7,28.8,18.6,32.6,29.9,30.9,34.2,30.3,40.7,30.9,36.5,52.2,35.5,30.7,33.2,33.5,42.1,37.8,39.3,25.7,34.4,30.3,28.9,36.1,26.1,15.1,34.3,17.7,25,18.5,18.1,26.2,24.2,24.3,21.8
Denmark,,,,,,,8.02,18.8,,0.0476,7.59,7.74,7.41,0.594,0.503,18.4,29.5,33.7,23.1,38.3,19.5,30.5,11.6,12.8,21.6,10.2,13.6,36.6,22.9,22.5,17.4,22.7,12,46.1,6.53,22.1,29.5,19.1,16,18.1,24.5
Spain,,,,,,,,,,,,,,,,,,,,,,,,,69.8,48.3,46.8,32.7,14.1,25.8,21.3,21.2,2.82,3.07,18.9,23.6,23.7,24.6,17.8,24.3,11.4
Finland,,,,,,,,2.02,23.5,28.6,34.5,44.8,11,16.7,,27.7,18.6,21.1,47.7,0.897,,38.1,28.7,14.3,35.8,13.4,21.4,4.99,6.3,25,5.49,8.49,10.1,1.92,1.27,4.56,9.57,5.17,13.2,8.32,16.4
France,39.9,21.1,19.4,28.4,9.79,11.9,9.99,18.5,14.7,14.1,12.5,14.4,14.3,18.1,13.8,17.1,17.8,21.8,21.9,25.5,16.7,27.3,23.9,19.7,21.5,17.9,17.2,11.9,12.9,13.1,12,14.4,11.1,7.41,11.9,7.27,12.1,11.7,22.6,13.7,13.7
UK,26.8,48.1,31,21.7,14.3,9.17,18.8,13.1,5.54,4.61,10.1,23.1,25.7,21.1,5.19,36.7,30.8,46.1,19.6,25.8,29.3,44.7,35.8,35.7,42.6,24.6,25.2,23.9,25.7,24.6,19.4,20.6,20.9,12.2,18.5,12.4,14.7,15.6,7.69,6.44,22.8
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,5.49,2.58,4.85,5.11,3.39,0.988,6.77,12.6,11.5,3.89
Ireland,,,,,,,,,,,,,,,,,,,0.786,1.97,0.463,3.16,3.02,4.09,6.29,10,,17,11,11,,8.71,10,3.4,3.97,3.28,2.35,3.37,2.43,1.65,1.91
Italy,42,65.6,,,,,,,7.63,,11.1,6.12,8.83,0.225,16.6,25.1,28.9,25.9,31.8,32.2,26.8,25.8,28.3,27.8,38,32.1,26.2,45.2,43.5,19.2,44.4,5.41,9.47,6.07,9.86,3.96,6.57,6.12,40.2,36.1,15.4
Japan,51.4,92.3,81.1,69.3,35.3,38.9,30.5,37,56.4,46.5,50,50.8,41.8,58.4,40.7,54,50.2,35.6,44.4,45.2,61.4,50.9,46.4,43,63.2,39.4,49.1,50.2,53.4,48.6,53.1,51,45.5,45.8,47.6,48.6,44.7,48.6,43.3,42.6,34.6
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,7.67,,10.3,10.3,2.62,2.75,3.06,,,,,3.61,4.17,5.09,12.1
Netherlands,,52.1,75.8,59.9,18.4,13.1,15.9,10.1,7.95,22.2,20.4,11.9,17.3,29.9,17.9,19.8,19,23.1,21.9,22,24.6,30,27.9,14.3,5.59,8.95,9.94,15,19.6,16.1,11.5,13.2,9.9,12.8,13.1,17.4,17.4,20,13.4,14.9,20.1
Norway,0.528,1.35,47.1,11.6,17.1,16,10.6,22.9,12.3,31.1,38.5,30.5,36.2,39,20.8,28.1,33.2,27.2,29.3,18.3,19.8,21.2,13.7,40.5,58.4,19.6,35.7,15.6,34.5,23.1,20.8,17.2,9.71,17,19.1,8.35,12.2,12.7,11.8,11.9,20
New Zealand,,,,,,,27.1,32.5,43.3,44,21.8,25.4,33.9,32,27.9,33.8,41.2,44.1,35.6,37.1,9.56,3.75,,0.574,5.84,7.07,5.78,12.5,12.5,,,7.56,7.33,5.95,5.83,7.26,5.97,5.27,2.8,8.12,9.88
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,16.4,13.1,12.4,16.8,38.4,13.4,9.82,14.9,5.32,2.86,6.09,16.4,14.3,12.5
Sweden,4.74,27.8,71.7,17.1,10.1,20.6,2.47,3.29,4.42,5.55,8.38,10.3,4.61,3,8.52,10.2,9.42,23.6,33.5,37,21.1,18.3,40.1,24,16.9,18.9,20.1,19.1,17.1,19.9,23.3,16.6,17,17.9,18.2,11.8,18.4,13.8,10.8,9.74,11.5
USA,40.3,31.6,16.6,17.8,8.73,11,16.7,,5.39,12.2,,24.3,24.8,6.77,11.6,9.63,7.53,8.62,11.5,10.4,11.7,7.2,11,14.3,14.2,14.2,14.2,29.5,16,16,24.4,13.1,22.8,20.3,6.05,8.18,3.92,25.8,14.5,19.3,16.8
