country,1996
Afghanistan,17.8M
Angola,14.2M
Albania,3.25M
Andorra,64k
UAE,2.6M
Argentina,35.5M
Armenia,3.28M
Antigua and Barbuda,69.6k
Australia,18.3M
Austria,7.96M
Azerbaijan,7.83M
Burundi,6.07M
Belgium,10.2M
Benin,6.39M
Burkina Faso,10.7M
Bangladesh,125M
Bulgaria,8.29M
Bahrain,609k
Bahamas,306k
Bosnia and Herzegovina,3.88M
Belarus,10.2M
Belize,210k
Bolivia,8.02M
Brazil,164M
Barbados,262k
Brunei,298k
Bhutan,549k
Botswana,1.54M
Central African Republic,3.44M
Canada,29.8M
Switzerland,7.07M
Chile,14.7M
China,1.23B
Cote d'Ivoire,15.4M
Cameroon,13.4M
"Congo, Dem. Rep.",45.3M
"Congo, Rep.",2.83M
Colombia,36.5M
Comoros,499k
Cape Verde,426k
Costa Rica,3.62M
Cuba,11M
Cyprus,880k
Czech Republic,10.3M
Germany,82.3M
Djibouti,648k
Dominica,69.4k
Denmark,5.26M
Dominican Republic,8.03M
Algeria,29M
Ecuador,11.8M
Egypt,67M
Eritrea,2.13M
Spain,40.2M
Estonia,1.43M
Ethiopia,59.5M
Finland,5.12M
Fiji,804k
France,58.4M
"Micronesia, Fed. Sts.",111k
Gabon,1.15M
UK,58.3M
Georgia,4.81M
Ghana,17.8M
Guinea,7.77M
Gambia,1.3M
Guinea-Bissau,1.14M
Equatorial Guinea,593k
Greece,10.6M
Grenada,105k
Guatemala,10.6M
Guyana,761k
"Hong Kong, China",6.3M
Honduras,5.9M
Holy See,792
Croatia,4.56M
Haiti,7.71M
Hungary,10.3M
Indonesia,203M
India,980M
Ireland,3.64M
Iran,62.9M
Iraq,21.5M
Iceland,269k
Israel,5.5M
Italy,57.2M
Jamaica,2.52M
Jordan,4.91M
Japan,126M
Kazakhstan,16.4M
Kenya,27.3M
Kyrgyz Republic,4.78M
Cambodia,10.8M
Kiribati,82.6k
St. Kitts and Nevis,42.9k
South Korea,45.6M
Kuwait,1.73M
Lao,5.05M
Lebanon,4.03M
Liberia,2.23M
Libya,4.99M
St. Lucia,150k
Liechtenstein,31.5k
Sri Lanka,17.9M
Lesotho,1.97M
Lithuania,3.6M
Luxembourg,414k
Latvia,2.46M
Morocco,26.8M
Monaco,31.8k
Moldova,4.39M
Madagascar,14.5M
Maldives,262k
Mexico,92.5M
Marshall Islands,48.8k
North Macedonia,2.01M
Mali,10.4M
Malta,388k
Myanmar,43.2M
Montenegro,633k
Mongolia,2.36M
Mozambique,16.5M
Mauritania,2.36M
Mauritius,1.17M
Malawi,10.4M
Malaysia,20.9M
Namibia,1.65M
Niger,10M
Nigeria,114M
Nicaragua,4.73M
Netherlands,15.6M
Norway,4.38M
Nepal,22.7M
Nauru,10.2k
New Zealand,3.73M
Oman,2.16M
Pakistan,139M
Panama,2.78M
Peru,24.8M
Philippines,72.2M
Palau,17.7k
Papua New Guinea,4.81M
Poland,38.4M
North Korea,22.9M
Portugal,10.1M
Paraguay,4.69M
Palestine,2.75M
Qatar,529k
Romania,22.5M
Russia,148M
Rwanda,6.71M
Saudi Arabia,13.8M
Sudan,25.2M
Senegal,9.07M
Singapore,3.66M
Solomon Islands,396k
Sierra Leone,4.2M
El Salvador,5.81M
San Marino,25.5k
Somalia,7.55M
Serbia,7.81M
South Sudan,5.36M
Sao Tome and Principe,137k
Suriname,439k
Slovak Republic,5.36M
Slovenia,1.99M
Sweden,8.84M
Eswatini,990k
Seychelles,78.9k
Syria,15M
Chad,7.41M
Togo,4.58M
Thailand,59.9M
Tajikistan,6.07M
Turkmenistan,4.26M
Timor-Leste,892k
Tonga,100k
Trinidad and Tobago,1.3M
Tunisia,9.29M
Turkey,62M
Tuvalu,9340
Taiwan,21.7M
Tanzania,30.9M
Uganda,21.2M
Ukraine,51.2M
Uruguay,3.21M
USA,271M
Uzbekistan,23.4M
St. Vincent and the Grenadines,113k
Venezuela,22.7M
Vietnam,73.2M
Vanuatu,171k
Samoa,176k
Yemen,17.3M
South Africa,45.1M
Zambia,9M
Zimbabwe,11.2M
